epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,510.318,0.87907,0.54647,0.99189,0.94807,0.73061,0.85179,0.43984,1.70073,0.8056,1.58698,0.00091684,0.00091684,0.00091684
44,521.6,0.90356,0.52104,1.00054,0.83196,0.72,0.82411,0.44715,1.8136,0.93024,1.71745,0.00091486,0.00091486,0.00091486
45,534.435,0.85072,0.51324,0.98983,0.88217,0.8,0.86824,0.44309,1.82525,0.98265,1.71199,0.00091288,0.00091288,0.00091288
46,547.822,0.88902,0.53005,0.98403,0.83688,0.68,0.8255,0.44119,1.76799,0.90772,1.58443,0.0009109,0.0009109,0.0009109
47,559.071,0.83558,0.52518,0.96741,0.81251,0.69378,0.81969,0.44252,1.69266,0.86173,1.57713,0.00090892,0.00090892,0.00090892
48,570.205,0.84608,0.51957,0.9757,0.86423,0.76401,0.84607,0.4842,1.5656,0.82105,1.52972,0.00090694,0.00090694,0.00090694
49,581.376,0.83673,0.49588,0.95177,0.79831,0.8,0.83221,0.48229,1.54809,0.83352,1.48716,0.00090496,0.00090496,0.00090496
50,593.335,0.83402,0.48544,0.95023,0.93403,0.72,0.83287,0.48445,1.52687,0.8527,1.40006,0.00090298,0.00090298,0.00090298
51,605.215,0.84553,0.47805,0.96746,0.78402,0.87144,0.86318,0.48476,1.63653,0.78747,1.51557,0.000901,0.000901,0.000901
52,617.528,0.84091,0.52171,0.98335,0.81371,0.76,0.83756,0.47636,1.56717,0.85599,1.50718,0.00089902,0.00089902,0.00089902
53,629.216,0.78228,0.46534,0.92824,0.83021,0.76,0.83271,0.46706,1.54893,0.85894,1.46854,0.00089704,0.00089704,0.00089704
54,640.892,0.82458,0.50181,0.96063,0.69467,0.8,0.79521,0.4347,1.75062,0.91211,1.65828,0.00089506,0.00089506,0.00089506
55,652.635,0.81698,0.48303,0.96207,0.72962,0.68,0.73995,0.3954,1.78061,0.992,1.68999,0.00089308,0.00089308,0.00089308
56,663.38,0.79052,0.46318,0.95607,0.87108,0.6,0.74212,0.3921,1.73208,1.10507,1.69526,0.0008911,0.0008911,0.0008911
57,674.817,0.79043,0.47364,0.96558,0.91623,0.6,0.72139,0.39,1.77718,1.05371,1.72826,0.00088912,0.00088912,0.00088912
58,685.435,0.82495,0.48958,0.9624,0.75801,0.75206,0.75593,0.41361,1.73702,1.01264,1.71759,0.00088714,0.00088714,0.00088714
59,696.856,0.80435,0.49101,0.96957,0.83421,0.68,0.75073,0.38609,1.75704,0.90925,1.77391,0.00088516,0.00088516,0.00088516
60,709.323,0.80956,0.5127,0.96836,0.88914,0.72,0.79546,0.39156,1.66481,0.89951,1.65142,0.00088318,0.00088318,0.00088318
61,720.578,0.75313,0.46781,0.92408,0.88478,0.72,0.78632,0.40994,1.69443,0.98373,1.62309,0.0008812,0.0008812,0.0008812
62,732.708,0.76896,0.49025,0.9397,0.93201,0.68,0.75667,0.35702,1.78829,1.06479,1.72033,0.00087922,0.00087922,0.00087922
63,744.545,0.80719,0.48712,0.96338,0.89595,0.72,0.83093,0.43498,1.59181,0.84172,1.54583,0.00087724,0.00087724,0.00087724
64,756.546,0.78014,0.48203,0.94325,0.98364,0.72,0.85645,0.45215,1.55984,0.78406,1.53358,0.00087526,0.00087526,0.00087526
65,767.639,0.78999,0.47031,0.95287,0.86894,0.79579,0.8801,0.46319,1.64861,0.80402,1.60878,0.00087328,0.00087328,0.00087328
66,778.547,0.78772,0.48287,0.95483,0.86352,0.8,0.8646,0.46512,1.76781,0.86143,1.75821,0.0008713,0.0008713,0.0008713
67,790.279,0.7736,0.4726,0.95348,0.88601,0.76,0.85695,0.48692,1.5737,0.79847,1.61913,0.00086932,0.00086932,0.00086932
68,800.828,0.77782,0.47133,0.94562,0.93182,0.76,0.85296,0.4737,1.53622,0.82678,1.5806,0.00086734,0.00086734,0.00086734
69,812.198,0.75289,0.46401,0.95455,0.93305,0.76,0.85903,0.47249,1.55333,0.83482,1.55683,0.00086536,0.00086536,0.00086536
70,824.427,0.73296,0.46543,0.94258,0.93633,0.76,0.84195,0.48243,1.54932,0.8854,1.53769,0.00086338,0.00086338,0.00086338
71,833.81,0.72149,0.44171,0.93136,0.95106,0.77784,0.86592,0.47643,1.59123,0.80909,1.58309,0.0008614,0.0008614,0.0008614
72,844.776,0.74575,0.44089,0.95876,0.85724,0.76,0.84177,0.42465,1.73618,0.78747,1.67658,0.00085942,0.00085942,0.00085942
73,856.606,0.78955,0.46935,0.95696,0.74672,0.82583,0.83858,0.43564,1.75914,0.83118,1.69156,0.00085744,0.00085744,0.00085744
74,867.68,0.74778,0.45845,0.94525,0.76363,0.84,0.86397,0.48685,1.68573,0.87892,1.64566,0.00085546,0.00085546,0.00085546
